,result link
0,https://patents.google.com/patent/US9961614B2/en
1,https://patents.google.com/patent/US11023120B1/en
2,https://patents.google.com/patent/US20190192797A1/en
3,https://patents.google.com/patent/US11199089B2/en
4,https://patents.google.com/patent/CN106843269B/en
5,https://patents.google.com/patent/US10801934B2/en
6,https://patents.google.com/patent/US11291918B2/en
7,https://patents.google.com/patent/CN110264572B/en
8,https://patents.google.com/patent/CN108264885B/en
9,https://patents.google.com/patent/CN106226152B/en
10,https://patents.google.com/patent/US9552100B2/en
11,https://patents.google.com/patent/US20220007114A1/en
12,https://patents.google.com/patent/CN107016154B/en
13,https://patents.google.com/patent/ES2809160T3/en
14,https://patents.google.com/patent/KR102378856B1/en
15,https://patents.google.com/patent/US11379541B2/en
16,https://patents.google.com/patent/US20200348906A1/en
17,https://patents.google.com/patent/US20180156744A1/en
18,https://patents.google.com/patent/US20220187870A1/en
19,https://patents.google.com/patent/US10595862B2/en
20,https://patents.google.com/patent/CN108444383B/en
21,https://patents.google.com/patent/US10463276B2/en
22,https://patents.google.com/patent/US10571605B2/en
23,https://patents.google.com/patent/CN105938070B/en
24,https://patents.google.com/patent/AU2019283850B2/en
25,https://patents.google.com/patent/US10517479B2/en
26,https://patents.google.com/patent/US20210137620A1/en
27,https://patents.google.com/patent/US10427604B2/en
28,https://patents.google.com/patent/US11166717B2/en
29,https://patents.google.com/patent/US11067386B2/en
30,https://patents.google.com/patent/US10575849B2/en
31,https://patents.google.com/patent/TWI636766B/en
32,https://patents.google.com/patent/US10970436B2/en
33,https://patents.google.com/patent/US11210963B2/en
34,https://patents.google.com/patent/US20190188471A1/en
35,https://patents.google.com/patent/US10044229B2/en
36,https://patents.google.com/patent/US10348704B2/en
37,https://patents.google.com/patent/US10436027B2/en
38,https://patents.google.com/patent/US11456258B2/en
39,https://patents.google.com/patent/US11300477B2/en
40,https://patents.google.com/patent/US11369607B2/en
41,https://patents.google.com/patent/US11482081B2/en
42,https://patents.google.com/patent/AU2019271988B2/en
43,https://patents.google.com/patent/US11452844B2/en
44,https://patents.google.com/patent/US11432924B2/en
45,https://patents.google.com/patent/US10887013B2/en
46,https://patents.google.com/patent/JP7138202B2/en
47,https://patents.google.com/patent/US11266339B2/en
48,https://patents.google.com/patent/US10748373B2/en
49,https://patents.google.com/patent/US10282708B2/en
50,https://patents.google.com/patent/US11357985B2/en
51,https://patents.google.com/patent/JP6781727B2/en
52,https://patents.google.com/patent/US11216041B2/en
53,https://patents.google.com/patent/US10607068B2/en
54,https://patents.google.com/patent/US11285018B2/en
55,https://patents.google.com/patent/US10867398B2/en
56,https://patents.google.com/patent/US10290508B1/en
57,https://patents.google.com/patent/US11051681B2/en
58,https://patents.google.com/patent/US10754721B2/en
59,https://patents.google.com/patent/US11399649B2/en
60,https://patents.google.com/patent/US11090458B2/en
61,https://patents.google.com/patent/US10402753B2/en
62,https://patents.google.com/patent/US10098389B2/en
63,https://patents.google.com/patent/US10939960B2/en
64,https://patents.google.com/patent/US11097190B2/en
65,https://patents.google.com/patent/US10776922B2/en
66,https://patents.google.com/patent/CN110481541B/en
67,https://patents.google.com/patent/US11088637B2/en
68,https://patents.google.com/patent/JP6625696B2/en
69,https://patents.google.com/patent/US10575075B2/en
70,https://patents.google.com/patent/US10103880B2/en
71,https://patents.google.com/patent/US10439806B2/en
72,https://patents.google.com/patent/US11132533B2/en
73,https://patents.google.com/patent/US10653342B2/en
74,https://patents.google.com/patent/US11057991B2/en
75,https://patents.google.com/patent/EP3439959B1/en
76,https://patents.google.com/patent/US10373438B2/en
77,https://patents.google.com/patent/US10408189B2/en
78,https://patents.google.com/patent/US10191559B2/en
79,https://patents.google.com/patent/US20220265944A1/en
80,https://patents.google.com/patent/CN107368642B/en
81,https://patents.google.com/patent/US9873050B2/en
82,https://patents.google.com/patent/US20220225882A1/en
83,https://patents.google.com/patent/US20210350833A1/en
